Date;Price;Open;High;Low;Vol.;Change %
12/21/2023;265.19;266.40;266.86;263.50;33.30M;-0.53%
12/20/2023;266.61;267.51;269.10;266.20;31.09M;-0.28%
12/19/2023;267.35;268.38;269.71;265.00;38.29M;-0.39%
12/18/2023;268.40;268.93;270.44;266.54;51.60M;0.07%
12/15/2023;268.21;256.60;268.91;256.60;84.67M;4.51%
12/14/2023;256.64;261.40;262.75;255.58;40.55M;-1.46%
12/13/2023;260.45;257.60;261.39;256.50;29.84M;1.11%
12/12/2023;257.60;256.79;262.88;255.05;63.93M;0.28%
12/11/2023;256.89;265.17;266.47;254.81;77.67M;-3.12%
12/08/2023;265.16;266.00;268.23;263.72;35.36M;0.02%
12/07/2023;265.12;267.62;270.44;263.06;63.56M;-0.92%
12/06/2023;267.58;279.92;280.79;266.83;100.02M;-4.31%
12/05/2023;279.62;271.98;279.65;270.54;46.89M;3.20%
12/04/2023;270.96;273.60;274.95;270.52;37.70M;-1.10%
12/01/2023;273.97;277.00;277.98;273.55;31.66M;-1.27%
11/30/2023;277.50;276.70;278.65;272.75;55.87M;0.25%
11/29/2023;276.80;279.36;280.56;276.20;29.82M;-1.11%
11/28/2023;279.91;282.40;282.51;277.32;45.51M;-0.86%
11/27/2023;282.33;287.40;289.00;278.88;79.15M;-1.58%
11/24/2023;286.85;286.49;287.50;285.11;26.07M;0.23%
11/23/2023;286.19;286.16;287.77;285.04;27.72M;0.01%
11/22/2023;286.16;283.12;286.67;282.85;47.30M;1.19%
11/21/2023;282.79;282.30;283.82;281.66;19.10M;-0.04%
11/20/2023;282.91;281.96;284.20;281.61;25.29M;0.47%
11/17/2023;281.60;279.70;282.50;278.66;31.32M;0.68%
11/16/2023;279.70;282.40;283.69;279.56;24.70M;-1.13%
11/15/2023;282.89;280.87;283.93;278.51;41.84M;0.72%
11/14/2023;280.87;283.70;283.88;280.54;40.48M;-1.09%
11/13/2023;283.97;280.40;284.80;280.32;45.89M;1.35%
11/10/2023;280.19;276.99;281.30;276.60;44.64M;1.28%
11/09/2023;276.65;278.60;278.85;276.02;28.43M;-0.54%
11/08/2023;278.15;273.64;278.35;273.28;58.03M;1.77%
11/07/2023;273.31;273.01;274.78;272.20;32.28M;-0.04%
11/06/2023;273.42;269.00;273.87;268.62;29.27M;1.82%
11/03/2023;268.54;269.07;269.78;267.20;20.98M;-0.19%
11/02/2023;269.06;270.00;270.98;268.50;25.75M;-0.23%
11/01/2023;269.68;268.29;270.30;267.60;20.61M;0.50%
10/31/2023;268.35;270.00;270.50;266.87;26.21M;-0.57%
10/30/2023;269.89;269.90;271.55;268.60;33.35M;0.07%
10/27/2023;269.70;269.93;271.98;266.80;49.78M;-0.07%
10/26/2023;269.90;274.11;276.00;269.12;59.50M;-1.40%
10/25/2023;273.73;271.50;274.96;270.53;41.83M;0.91%
10/24/2023;271.27;270.00;272.06;268.62;28.03M;0.43%
10/23/2023;270.10;270.45;274.10;269.65;62.43M;0.11%
10/20/2023;269.80;268.50;270.30;266.50;32.88M;0.43%
10/19/2023;268.65;267.13;271.00;266.28;33.53M;0.28%
10/18/2023;267.90;270.00;271.19;266.11;40.38M;-0.78%
10/17/2023;270.00;268.30;271.97;266.91;51.21M;0.69%
10/16/2023;268.15;264.00;269.20;263.51;53.72M;1.76%
10/13/2023;263.51;264.89;265.04;262.70;18.41M;-0.37%
10/12/2023;264.50;260.00;264.50;259.66;27.55M;1.65%
10/11/2023;260.21;263.30;263.99;259.50;29.50M;-1.06%
10/10/2023;263.00;264.89;265.18;257.00;34.00M;-0.85%
10/09/2023;265.25;263.00;265.97;263.00;45.45M;0.88%
10/06/2023;262.93;259.77;263.40;257.86;32.00M;1.37%
10/05/2023;259.38;260.70;261.39;258.26;23.50M;-0.06%
10/04/2023;259.53;259.00;260.39;258.24;18.57M;-0.05%
10/03/2023;259.65;258.99;260.50;257.23;23.91M;0.26%
10/02/2023;258.98;261.37;261.92;257.03;35.57M;-0.67%
09/29/2023;260.72;258.00;262.59;256.71;68.53M;1.18%
09/28/2023;257.67;256.40;258.25;255.50;26.33M;0.61%
09/27/2023;256.10;256.20;257.85;254.63;27.88M;0.09%
09/26/2023;255.87;252.13;257.17;250.90;42.96M;1.27%
09/25/2023;252.65;252.00;253.49;249.83;31.86M;0.26%
09/22/2023;251.99;249.85;253.10;248.62;40.71M;0.73%
09/21/2023;250.16;252.87;254.20;249.81;58.91M;-1.42%
09/20/2023;253.77;252.80;255.47;249.82;66.83M;0.42%
09/19/2023;252.72;258.99;259.32;251.50;89.55M;-2.45%
09/18/2023;259.07;262.02;263.00;258.76;29.04M;-0.67%
